,column1,column2,class
626,6.2247,32.8,1
624,3.6853,27.399,1
11,11.597,2.6769,0
117,3.0391,24.144,1
167,-0.73685,-0.32117,0
529,2.7457,1.2322,0
101,-0.8082,0.036913,0
825,0.28115,-0.20412,0
148,-4.3329,0.44787,0
340,3.6019,22.079,1
580,5.4136,30.077,1
564,0.63388,-1.1041,0
543,4.6549,27.68,1
30,4.8094,2.5681,0
337,5.6001,-0.52635,0
202,5.9492,34.337,1
524,5.0668,27.413,1
439,4.6732,25.573,1
510,-1.6072,1.9437,0
874,5.0591,27.945,1
913,4.7954,27.582,1
289,3.3882,25.032,1
912,1.2057,0.0756,0
165,2.9725,0.72135,0
813,2.855,-0.11912,0
536,-1.2641,3.6531,0
441,3.7251,1.4926,0
519,5.8677,1.5104,0
489,5.44,28.768,1
216,4.8078,28.517,1
839,-3.7833,-1.1182,0
842,3.4196,0.43636,0
789,3.8717,22.136,1
43,2.9893,0.40178,0
594,3.2597,0.863,0
325,3.2647,1.2929,0
872,5.9,1.1204,0
986,5.2942,27.997,1
45,1.905,-0.0070104,0
482,4.8682,25.574,1
486,3.0362,3.1127,0
634,4.8182,27.45,1
277,5.9248,30.704,1
607,5.9199,31.197,1
672,5.3159,0.5768,0
843,4.6367,24.234,1
350,5.881,30.131,1
216,1.3921,1.5404,0
644,3.4058,23.006,1
917,0.77862,1.958,0
639,-1.7218,1.1413,0
977,5.3656,30.276,1
329,5.622,1.5729,0
880,5.257,27.323,1
796,4.9398,0.55923,0
712,0.69951,2.1792,0
708,-2.8468,1.2477,0
573,7.5221,1.799,0
215,3.8258,25.464,1
486,5.3277,32.834,1
377,3.107,1.2199,0
253,3.3484,1.3907,0
34,2.0557,15.896,1
155,4.8668,28.557,1
585,4.1812,25.677,1
490,4.3831,25.967,1
142,-3.5347,-0.072381,0
403,-1.2264,2.3457,0
723,4.2708,26.999,1
31,-1.6274,1.6971,0
420,0.44097,2.021,0
885,3.3067,22.524,1
732,1.0604,1.6416,0
778,6.199,32.491,1
64,6.8832,2.0784,0
381,5.0339,2.2717,0
15,1.3518,1.8177,0
347,5.3275,33.187,1
815,3.5091,1.3988,0
191,4.7824,26.153,1
494,7.4702,0.74201,0
881,-1.0808,-0.26388,0
955,6.7447,32.815,1
829,5.5406,29.472,1
977,3.1562,1.7026,0
721,3.1019,1.159,0
195,5.8261,30.221,1
5,-2.1353,-0.30528,0
983,-0.048876,-0.0032574,0
886,4.5506,24.489,1
69,9.4328,2.8076,0
55,6.5326,32.731,1
235,0.98625,-0.098636,0
99,3.2053,19.275,1
171,-5.3677,-0.64973,0
567,5.7059,32.415,1
786,5.7276,34.271,1
370,-2.6466,0.1444,0
66,3.5084,23.243,1
788,4.6457,-0.42338,0
35,6.5486,1.882,0
58,1.2866,0.1008,0
861,2.9682,2.1204,0
364,4.4813,1.7196,0
982,5.6098,31.711,1
179,4.726,0.39941,0
971,4.5183,1.7048,0
290,4.9755,27.789,1
225,4.5554,27.082,1
153,-0.52401,-0.11384,0
294,5.0012,29.192,1
222,5.9044,1.0727,0
366,4.7661,27.906,1
603,4.9521,26.425,1
446,4.9674,28.346,1
917,4.6138,28.798,1
715,5.7796,32.395,1
765,5.9704,33.191,1
503,5.2908,29.156,1
764,6.0822,31.352,1
127,1.1213,0.3522,0
141,1.1715,1.2777,0
285,5.2398,32.364,1
53,-1.5212,1.3751,0
652,5.0384,0.90194,0
343,5.7477,29.524,1
614,3.6174,21.23,1
347,3.0357,3.3004,0
109,1.3861,0.77646,0
888,3.008,17.546,1
106,5.49,31.693,1
421,4.8193,25.885,1
197,3.4765,0.45867,0
902,2.3229,1.1322,0
860,-1.5491,1.2725,0
148,2.9974,21.74,1
306,3.4211,1.2055,0
806,3.2823,0.11479,0
302,5.4115,27.77,1
793,5.316,30.915,1
398,4.8822,27.421,1
986,2.9304,0.59147,0
190,4.8048,28.006,1
328,2.8679,20.285,1
591,4.3333,25.327,1
122,6.3607,1.3475,0
293,4.725,2.1217,0
523,-3.8048,1.2647,0
437,5.4018,30.724,1
249,2.1308,2.2481,0
180,3.6383,24.151,1
627,1.8622,0.50219,0
835,3.7104,1.7873,0
156,4.2855,26.515,1
56,-0.4339,1.0125,0
89,-1.6867,1.1431,0
271,5.4236,1.2725,0
61,2.103,0.85071,0
731,-1.8221,0.59854,0
599,6.1706,33.008,1
483,5.5954,26.66,1
859,5.0937,28.307,1
267,-1.8354,0.69194,0
595,4.7954,1.2246,0
685,4.5907,28.75,1
899,0.12274,0.13311,0
42,3.0094,0.83009,0
63,6.1006,33.49,1
991,-1.3302,0.31105,0
605,4.4903,26.7,1
999,-1.6256,0.7199,0
893,3.2939,1.6698,0
106,3.5494,2.2826,0
212,-0.7693,0.072502,0
414,5.1555,28.074,1
792,4.2221,24.515,1
477,4.402,0.053265,0
211,6.6821,31.468,1
397,3.9214,1.5017,0
304,4.7124,2.9782,0
806,5.4055,27.389,1
395,4.7901,25.914,1
120,7.908,40.349,1
494,6.7298,32.023,1
44,-0.73499,-0.083492,0
226,1.5069,1.5391,0
473,5.1202,26.823,1
95,2.5924,2.1394,0
579,5.3174,28.593,1
795,3.2685,1.1311,0
29,-0.48961,-0.64323,0
571,6.6105,2.5311,0
312,1.5345,0.72638,0
199,5.6252,28.625,1
804,3.2112,1.151,0
80,6.4883,2.1376,0
33,4.1905,28.39,1
139,1.0543,0.95713,0
674,7.5088,37.331,1
817,4.0617,26.196,1
869,4.5376,27.069,1
499,5.8671,33.012,1
390,0.23452,0.4782,0
495,4.3914,22.715,1
18,6.409,33.232,1
479,4.3961,23.691,1
86,4.6408,2.0275,0
942,5.5301,31.162,1
448,0.65585,0.9512,0
83,6.5877,29.412,1
762,2.3009,2.1843,0
354,6.8586,34.078,1
532,0.075499,0.17971,0
889,5.8412,30.297,1
477,5.7596,28.196,1
108,6.7119,31.893,1
16,4.8759,29.076,1
837,5.5115,1.4666,0
191,1.3119,0.32036,0
720,5.4147,28.174,1
970,4.4862,27.26,1
465,-0.28832,-0.58717,0
911,6.0051,2.6075,0
736,3.9855,23.76,1
56,4.2303,26.017,1
27,1.0404,-0.30892,0
777,1.8035,1.8936,0
331,-1.8069,1.5572,0
570,5.2535,2.5382,0
501,5.8985,31.83,1
980,-2.9224,0.026049,0
13,4.9369,28.552,1
662,4.49,26.614,1
134,2.8917,1.6938,0
36,5.3252,30.961,1
705,4.1821,1.2059,0
719,4.126,25.295,1
873,5.6103,32.195,1
770,3.8067,23.715,1
453,3.9369,2.9501,0
721,5.3484,29.208,1
33,-0.55986,2.3271,0
785,10.82,0.9013,0
299,-5.3342,-0.29891,0
4,3.008,1.658,0
978,8.5267,39.226,1
233,4.2589,26.545,1
256,7.0237,34.395,1
624,-2.1575,2.5001,0
513,1.4673,1.2793,0
706,5.5558,30.973,1
754,5.7877,-0.3937,0
113,-1.3905,0.68312,0
416,1.0748,1.0207,0
301,-0.99936,1.0148,0
703,1.2824,2.6324,0
965,5.8836,32.005,1
96,1.7391,2.3976,0
229,5.4434,29.698,1
675,6.0635,29.01,1
28,5.2939,29.241,1
149,5.9642,34.108,1
512,0.62881,0.34968,0
163,9.9879,2.4904,0
521,-5.3648,-1.3444,0
743,0.49038,1.4351,0
185,5.2859,1.2474,0
814,-0.064243,0.86639,0
474,3.8064,2.2516,0
113,3.9278,24.609,1
455,-1.5377,-0.4222,0
820,0.70387,1.0486,0
869,0.53769,1.1456,0
699,4.1073,28.716,1
227,2.873,1.0317,0
544,5.2028,1.9056,0
29,4.2127,22.853,1
95,5.1873,30.635,1
857,2.6767,0.10035,0
389,5.3199,30.371,1
526,7.2272,34.247,1
894,3.8576,25.644,1
472,4.5263,1.6786,0
275,4.0556,24.649,1
578,5.7135,31.622,1
386,5.9407,31.037,1
170,-2.2122,0.55192,0
272,6.0061,31.972,1
702,6.047,30.738,1
565,5.6489,30.427,1
510,3.8593,26.804,1
448,4.5749,26.8,1
443,5.3975,32.504,1
523,3.1644,23.714,1
245,-2.9491,1.3933,0
311,4.8681,26.738,1
75,3.5977,21.604,1
145,-1.0965,0.51939,0
821,-0.2494,1.0674,0
450,1.8014,0.43891,0
677,2.1675,0.98957,0
686,1.4912,0.22252,0
300,5.0799,27.608,1
241,4.9527,0.17087,0
540,5.8998,29.03,1
338,2.5031,16.419,1
763,3.5707,1.5543,0
221,6.6035,35.739,1
621,5.2669,25.325,1
829,3.7096,1.0336,0
298,2.8076,18.515,1
0,5.5377,30.999,1
883,5.5476,29.106,1
769,0.40133,2.3283,0
551,4.5913,26.87,1
989,-3.5922,-0.32989,0
139,4.7009,27.14,1
104,2.9598,-0.38989,0
996,5.164,29.864,1
210,0.31763,1.3048,0
74,-0.41867,0.42262,0
188,4.0876,-0.68973,0
802,4.7969,29.341,1
260,5.1625,3.0335,0
394,-0.87371,1.2955,0
217,1.1333,2.8841,0
118,4.8023,28.825,1
950,4.7494,25.557,1
415,5.8186,32.765,1
455,3.8813,22.405,1
648,5.0931,28.455,1
456,4.3736,25.412,1
880,2.8126,0.28477,0
668,5.777,32.368,1
479,0.090242,-0.45196,0
865,3.7706,24.135,1
233,-0.34358,1.2528,0
209,1.5381,1.1837,0
272,5.1815,1.7166,0
457,2.789,0.69226,0
91,2.3316,1.5367,0
315,4.4954,27.177,1
944,4.7007,1.261,0
746,5.8531,28.391,1
961,4.3013,25.123,1
588,-1.6541,-0.39261,0
650,3.5173,24.133,1
115,5.124,27.544,1
70,4.3844,28.182,1
65,2.2717,1.212,0
282,5.3502,28.396,1
467,5.4013,27.605,1
325,5.3999,29.594,1
700,6.9085,33.363,1
562,7.0034,35.447,1
217,4.7259,30.835,1
847,4.7133,28.262,1
20,5.6715,30.51,1
602,5.0226,29.189,1
401,5.4943,31.432,1
582,5.144,26.567,1
694,3.8286,24.62,1
646,4.4889,0.46128,0
354,7.8774,1.655,0
658,4.773,28.823,1
137,5.5654,1.6724,0
496,-0.33079,2.7405,0
783,3.7309,21.495,1
848,1.3759,-0.13428,0
687,3.2944,1.3134,0
360,0.52096,1.462,0
678,-2.0742,1.0026,0
242,3.1078,0.31427,0
708,3.4673,24.472,1
118,1.3748,1.7116,0
353,-3.7091,-1.402,0
890,0.68873,1.3881,0
420,4.507,28.638,1
158,4.7752,27.869,1
220,3.9358,27.077,1
128,4.2185,1.9885,0
820,4.5901,27.023,1
19,6.4172,33.365,1
921,4.8831,26.802,1
284,4.9403,2.6183,0
704,4.8375,28.334,1
498,4.8792,1.7874,0
344,1.1365,0.31541,0
471,5.8155,30.822,1
932,6.0523,1.2131,0
428,6.8045,37.649,1
404,0.58648,-1.1681,0
729,-0.67511,0.21277,0
150,5.5201,26.457,1
760,3.3303,2.5934,0
433,5.5939,30.107,1
994,7.594,0.39728,0
768,5.1732,30.755,1
487,1.2464,0.45368,0
636,1.8813,1.48,0
259,3.0675,0.83912,0
710,-2.4771,-0.65879,0
609,6.4428,0.84141,0
244,2.577,0.78029,0
509,3.1457,22.713,1
940,6.6742,32.427,1
154,6.0187,29.449,1
332,1.197,1.4254,0
937,2.0808,1.8045,0
507,10.814,1.5739,0
16,1.6074,1.743,0
22,5.7172,29.926,1
552,5.1102,2.0453,0
430,3.6651,1.2599,0
447,7.1735,1.8527,0
419,-1.4677,-0.74683,0
57,5.3714,28.804,1
555,0.31887,0.76436,0
215,-1.7132,1.2787,0
156,-0.25954,1.2005,0
657,5.3763,26.974,1
963,4.3054,24.699,1
92,4.284,0.4969,0
515,5.5413,31.5,1
22,4.2681,1.0301,0
514,1.3089,1.8404,0
935,5.2147,29.416,1
72,1.3915,2.6058,0
671,0.65403,0.24112,0
598,5.683,28.574,1
204,5.1352,26.066,1
83,7.0207,-0.44733,0
735,3.5736,20.245,1
266,3.4914,3.6264,0
429,4.2769,27.818,1
660,8.4015,2.9862,0
434,-4.9128,0.15601,0
866,4.729,32.289,1
628,5.5824,30.241,1
955,7.5171,1.1423,0
38,6.3333,3.671,0
596,5.1803,27.743,1
717,1.7166,1.5081,0
759,-4.1878,-0.84965,0
298,-4.9331,-1.0015,0
652,5.9608,30.32,1
9,10.758,2.632,0
235,4.6794,25.095,1
469,2.9502,0.87697,0
64,6.5442,34.056,1
365,5.3086,29.088,1
776,2.5426,1.7109,0
989,3.2316,20.886,1
563,5.0073,0.66057,0
558,5.1766,26.415,1
104,5.3035,26.173,1
59,6.1174,32.963,1
560,4.586,27.92,1
581,4.4229,22.244,1
617,5.213,31.384,1
797,3.3942,21.458,1
504,2.3572,1.1925,0
990,4.5771,26.343,1
575,3.7629,24.537,1
213,4.5162,23.272,1
547,4.1343,23.435,1
567,4.2322,2.3671,0
816,4.9287,27.5,1
307,5.1006,29.192,1
399,5.6992,27.752,1
493,2.2919,1.0117,0
271,6.0826,31.335,1
47,3.985,3.1523,0
541,1.051,0.343,0
164,7.2351,3.8675,0
322,5.137,27.948,1
888,-4.2992,-1.7931,0
177,5.1837,28.565,1
417,4.4592,26.197,1
393,-1.2437,1.3335,0
456,0.019217,0.49288,0
245,3.4349,24.662,1
188,5.6601,26.538,1
492,5.6011,26.921,1
607,4.9089,1.4243,0
78,4.8226,27.966,1
822,5.0614,27.854,1
589,4.9905,27.15,1
669,5.6224,30.889,1
680,-0.39635,-0.71852,0
737,1.3256,0.82469,0
895,0.024007,1.5746,0
458,4.007,23.982,1
835,5.5409,30.893,1
985,5.551,34.861,1
615,2.7731,1.5516,0
901,0.40507,1.9755,0
623,5.4255,30.095,1
987,-0.45976,2.3216,0
555,4.4684,26.17,1
789,-1.5681,-0.55161,0
926,5.7783,32.22,1
274,2.8129,2.3871,0
105,4.3997,26.239,1
663,-2.1793,-0.20269,0
695,-2.3806,0.14064,0
540,4.8455,0.30163,0
164,6.6555,37.717,1
810,5.8535,30.7,1
247,6.6039,32.651,1
71,4.3656,0.88466,0
137,6.1275,32.205,1
945,5.3891,30.368,1
292,6.0205,35.194,1
291,3.0512,20.394,1
25,6.0347,33.009,1
963,-0.19653,0.20851,0
381,5.9594,32.896,1
511,3.9067,23.533,1
561,0.61407,0.59025,0
305,4.3088,25.077,1
823,3.1539,22.859,1
192,1.0415,0.59534,0
384,3.964,25.304,1
864,-0.067292,0.57856,0
530,2.7773,0.33895,0
664,4.3639,27.888,1
862,-1.7072,1.1662,0
823,-3.838,0.82516,0
610,6.0341,33.004,1
232,-0.99772,0.55592,0
722,3.1044,1.2477,0
608,2.4737,1.4339,0
202,5.0017,3.0507,0
665,5.3179,28.198,1
409,5.4754,28.348,1
162,-1.5422,-0.13685,0
406,6.1287,31.952,1
529,5.2358,29.052,1
5,3.6923,22.133,1
286,4.3096,25.673,1
268,5.0662,26.921,1
879,5.9724,31.882,1
861,5.3062,30.908,1
281,3.8802,1.0175,0
962,4.6335,1.1936,0
749,-3.1562,-0.34818,0
964,4.5381,28.255,1
90,3.852,23.789,1
709,-1.4718,0.31585,0
905,3.9632,23.283,1
793,2.9992,2.1103,0
220,-1.3653,1.9824,0
396,-3.3723,-0.27612,0
39,-3.4123,2.6113,0
972,-0.12249,0.35222,0
38,6.3703,36.603,1
54,1.9783,1.7633,0
483,3.8827,-0.53538,0
145,4.0208,24.542,1
521,2.671,17.513,1
926,4.4611,2.1632,0
563,5.951,29.839,1
226,4.8441,28.609,1
983,4.3521,24.421,1
711,5.0596,28.617,1
653,7.4968,3.1748,0
780,6.0533,29.607,1
475,3.3054,-0.20051,0
548,3.9569,24.358,1
745,5.0303,28.854,1
308,4.6123,2.4511,0
349,2.2694,1.0917,0
924,5.4902,27.143,1
543,0.90881,1.3076,0
320,-1.2095,0.32561,0
219,4.751,23.552,1
333,-2.5178,0.069963,0
889,4.6603,1.0555,0
85,4.2029,1.6412,0
21,-1.8184,-0.30386,0
192,4.6969,26.448,1
559,5.9707,30.867,1
707,-1.5426,0.4637,0
881,4.0258,23.08,1
307,2.3182,1.4937,0
323,4.7081,25.678,1
280,5.9111,31.449,1
907,1.4628,0.45243,0
558,2.5584,-0.085821,0
430,5.5265,29.862,1
124,0.51811,2.1003,0
923,5.8175,30.118,1
649,0.80416,2.3973,0
635,-0.97107,-1.1658,0
993,0.99557,2.0516,0
526,9.0429,1.2345,0
783,-2.0132,-0.69738,0
777,4.9379,29.521,1
911,6.2665,34.329,1
535,-2.2465,0.11435,0
656,2.526,0.65734,0
859,2.2964,1.0332,0
847,1.0934,1.5356,0
195,4.6122,1.036,0
10,-2.2687,0.04991,0
178,4.5238,30.783,1
92,5.7223,28.935,1
135,5.0335,29.433,1
706,3.7575,1.8093,0
146,-1.6569,0.85712,0
722,5.3493,29.377,1
903,6.1963,31.479,1
576,-4.9364,0.55534,0
590,4.3102,26.317,1
514,4.7815,29.013,1
557,0.3485,-1.0384,0
623,3.3455,1.5234,0
726,4.1036,27.549,1
827,4.064,1.7686,0
904,2.3804,1.5067,0
136,3.6663,21.842,1
743,4.5226,27.575,1
855,-4.9673,0.83842,0
349,5.0852,28.395,1
81,2.9221,1.8903,0
584,-0.40362,0.057782,0
871,0.40767,1.3009,0
447,6.636,33.87,1
17,6.7108,1.4956,0
877,-4.2131,-1.3128,0
998,5.6435,1.4356,0
583,-3.1819,1.2809,0
232,4.052,24.693,1
312,4.8528,27.101,1
418,1.024,1.4591,0
362,6.6769,1.2047,0
303,5.677,32.175,1
561,4.5617,26.086,1
123,-1.3463,1.7416,0
294,2.0037,1.6312,0
21,3.7925,22.397,1
927,3.5197,23.048,1
278,2.0002,1.582,0
399,4.2109,-0.098956,0
25,5.272,2.2275,0
283,6.2503,33.564,1
96,4.9175,30.418,1
417,0.28988,0.79124,0
1,6.8339,33.309,1
151,1.9367,0.595,0
26,4.2986,3.5794,0
444,4.2481,26.379,1
94,4.3331,26.928,1
248,5.0983,29.795,1
646,5.7871,29.037,1
250,-0.32165,0.93433,0
408,5.9894,1.9543,0
353,3.1946,18.77,1
773,5.0464,28.746,1
223,1.2739,1.0871,0
781,4.2511,23.434,1
647,1.993,0.62307,0
860,3.8777,25.588,1
841,1.8016,1.5717,0
506,2.3215,1.6848,0
476,4.013,23.896,1
664,-0.011614,1.8207,0
586,5.5197,32.32,1
323,1.077,0.171,0
40,4.8978,27.872,1
223,4.7704,27.565,1
853,3.8906,2.2522,0
603,1.8486,0.23003,0
500,1.7474,-0.52106,0
412,-0.077034,-0.75477,0
613,3.7921,1.2821,0
140,5.0229,27.568,1
385,6.8779,33.875,1
27,4.6966,24.743,1
358,2.3592,1.9267,0
153,4.2018,23.821,1
47,5.6277,33.69,1
533,3.7774,23.109,1
852,6.1473,29.435,1
625,4.5836,27.77,1
897,3.2414,0.43191,0
496,4.2629,29.358,1
239,5.929,2.1229,0
897,5.3926,27.953,1
844,3.9794,25.146,1
534,3.0009,0.41225,0
948,4.5494,24.184,1
467,3.2691,0.23511,0
541,4.6999,25.98,1
850,3.5807,22.07,1
867,-0.84589,1.653,0
316,-2.018,-0.66441,0
967,5.8967,30.679,1
845,-7.7176,0.25389,0
700,8.0352,1.2064,0
160,1.0711,0.42253,0
791,4.2688,-0.1676,0
981,6.9151,35.012,1
88,2.682,0.21679,0
780,5.3308,0.39539,0
262,4.41,30.463,1
484,5.3104,1.994,0
950,1.2077,0.049865,0
659,3.8511,24.459,1
214,-0.25156,0.2669,0
